,Mama's Buoi
973,"It's good to be a mama's buoi!I visited it recently and really loved the ambiance and food there!Of all the things that i tried here are some of the dishes I'd recommend to diners:Jalapeno garlic bread: really delicious,served with jalapenos on top, tangy yet light and crisp. Loved itDouble chocolate shake: it was very yum! With loads of chocolate and a scoop of ice cream to add to goodness it was filling and damn yummyVeg Coriander dimsums: they were amazing! The flavours and sauce just topped of the balance between sweet and spicy. Should tryVegetarian lasagna: it was okayish. The flavours didn't please us. Hope to try a better one next timeMoti mushroom tikka: it was so...read more"
974,"This place is a ""LIT"" place for all the youngsters who are frequenting the north campus. The place is chick and beautifully done. They have some eccentric wall decor that adds up to your party mood. The place is always buzzing with youth who are here to detoxify themselves of the university burden. Their white sauce pasta is very creamy and cheesy. The mushroom kebabs are succulent. They also serve tiranga chaap which melts in your mouth and the tangy dip just sets the mood. Their freakshake is oozing with calories and cream. That is what I call a perfect insta-worthy beverage to be!Visit this place for a romantic date or a birthday party. You will just love everything about it."
975,"Nice ambience, nice music, ok types food, service very pathetic on weekends...dey only have 3-4 hukkas so u hv to wait fr a long time fr ur hukka turn...can be tried again..."
976,"Excellent good and good service. When a person is in dire need of good food for lunch, I would suggest going to this restaurant. I had Butter Chicken, Dahi ke Keabs and Rotis. They are really awesome. Like heaven on my tounge. The look and feel are really cool. I really enjoyed my food here and would come again too."
977,"Pretty places and good food!What else do you need when up for a good day's brunch.Located in GTB Nagar, Mama's buoi is one of the most attractive places in the area.The food portions are filling and amazing. No wonder the staff is well mannered and makes suree you have an amazing time dining there.Here's some of the things we tried:Double chocolate shake: The quantity oh gosh! Filling and we barely made it to the bottom to say at least. It tasted delicious!Coriander dimsums: one of the best and amazing one's weve had! Should you try? Well surely yes!Jalapeno garlic bread: light crisp and yum! A quick bite to salivate you throughout your meal. Do try!Alfredo pasta: did let us...read more"
978,"A really cool place to hangout with friends. It’s one of the few cafes in Hudson lane serving booze. The ambience is really nice and perfect for casual dining.In drinks, I really find their mojito very refreshing with a strong minty taste. They also serve some of the amazing thick shakes which is a must try too.In food, I prefer having appetizers here over main course. Paneer tikka and Dahi ke kebabs are my all time favourite here.The only downside of this place is it’s service. The staff is nice but the service is bit slow and they mix your order with others a lot. Otherwise It’s a decent place and quite pocket friendly too. One of the best options for college students."
979,I found this cafe to be the most amazing cafe among all the cafes in Hudson laneEverything I tried over there was so delicious and the service was also very promptDo visit this cafe
980,"This is a nice place and ofcourse one of those very few in hudson lane that serve hukkah and boozeBut I personally feel this place is little overrated . Neither the cost of items are less as compared to others in hudson lane , nor are they that divine . For this price and atmosphere you can get better places also.Ambience :3Quality : 3.5Quantity : 3.5Value for Money :3Service : 3"
981,Here the wait goes over...i was looking out for a family restaurant in this area from last few months...where probably i can have beer and have good food...this place is simply awesome if you want light music with a chilled beer and delicious food..then this place is must try.....had tried cosmopolitan which was too good...
982,"The cafe has 2 floors, one is a rooftop open floor and another one is closed one. The cafe has good ambience wit a good interior. They have a wide range of varieties in their menu and the rates are moderate. The quality of food is delicious and tatse is awsomeChicken Lolly Pop:-Light batter Fried Chicken wings  served with Dips. it was so crispy and so tasty. Must try.Chicken Biryani:-Biryani was too Good. The flavour of biryani was amazing. Chicken were so juicy and Soft. Highly Recommended.Drinks:-Ozzy JumbleCollege Virgin MojitoDirty Double:- it was a heavy and very delicious shake. it had choco chips, brownie, Chocolate vanilla and butter scotch ice cream. Highly...read more"
983,"Heard abt this place couple of times from a friend.Just out of blue we(family) decided to have dinner outside after a long time. From outside it was difficult to guess if we reached the correct place. When inside it was all together a different atmosphere. We decided to sit on 3rd floor instead of terrace. Ordered few items.1. Nachos with beans and cheese- Served hot, tasty ,only if they cld increase little bit of beans in it, but no regrets overall.2. Afghani paneer tikka: paneer tikka marinated with white cream , very less spicy, enjoyed it.3. Paneer makhni- delicious , accurate spices, can use little more paneer cubes.4. Dal makhni-👌now that's how dal makhni should taste....read more"
984,"Anything that includes butter chicken in it, makes me drool. I had these little balls of heaven at Mama's buoi GTB Nagar. The balls were filled by butter chicken & also served with some tasty gravy. The preparation of the butter chicken balls was perfect & the only problem with it was the gravy served with it. The gravy served was cold & I would have preferred a little hot to go with it. Nevertheless try out this delight when next in GTB. Also, the service at the terrace area is TERRIBLE, so anyone visiting this place, try out their sitting area on the 3rd floor."
