,TOS - Take Off Scarlet
1521,"We ordered 5 dishes today as mentioned below:Malai Murg TikkaChilli ChickenAmritsari fishChilli Soya ChampVeg salt and pepperOut of which Amritsari fish never came up. They completely forgot about the amritsari fish and which now I am glad they forgot, because the rest of the 4 dishes were pathetic in taste. Chicken was not cooked properly. Chilli soya champ was bad. We received corn salt and pepper instead of veg salt and pepper.The service was veryyy bad. No one was there to attend to us. We had to struggle to call the crew members for basic requirements like forks and water.The manager's response after the feedback was very very casual.We sat on terrace which is on 5th floor...read more"
1522,A very beautiful place to chill with your friends. This place in punjabi bagh got the best ambience and food in town.I tried -1. Veg noodles2. Chilli potatoes3. Brownie shake4. Fish fingers5. Drums of heavenAnd in main course i had -1. Butter chicken2. Fried rice3. ManchurianEverything was too good and butter chicken is a must try ❤
1523,"Recently visited take off scarlet,situated in Punjabi bagh.The place is quite nice and good.The place is big but seating arrangement is so packed up that it doesn't feel that spacious.You would love that place of you are a party animal as the DJ is always playing blaring music all the time.In food we had chicken loaded nachos which were okayish as the nachos lacked crispiness and fried Onion rings were also not up to mark.We had classic caesar salad which was good.All of the mocktails were good ,I would like to recommend kiwi cooler and chocolate Oreo shake.Coco loco was okayish in taste.Fish Tikka was good,fish was nicely cooked and it was delectable.We had other items too including...read more"
1524,"Delicious food with amazing A1 ambiance, i would like to visit there more often with mu friends and family . A nice and decent place to celebrate birthdays or Anniversaries."
1525,This place has the best ambience in Punjabi Bagh alongwith the food is delicious and the DJ Is awesome alongwith the rooftop arrangement is excellent
1526,"Party all day,party all night if that's the only rhythm going on and on inside your brain then probably you should visit take off Scarlet.Eardrum blaring music playing even in daytime the place is a really a noisy one.But if you have one friend who is not a noise lover you are expected to stay away.The place is situated at fourth floor and the ambiance is okayish.The service was not upto mark,it was slow and we had to shout to waiters to call them up.We had -Chicken loaded nachos-It was good in taste and were loaded with other stuff than the chicken and were yummy.Classic caesar salad-I loved the salad it was really fresh.The lettuce was fresh and other ingredients also.Fried...read more"
1527,This lounge had a grand opening and belongs to one of my friendThe ambience The lighting The DJ The crowd Everything is on point There is nothing i can say negative about Probably the best and most running lounge in punjabi bagh club road 
1528,A must try place in punjabi bagh area. If you are looking for a party place where you can enjoy with some good music then this is the place. The service was quick and the ambience of this place was really pretty. The best thing I liked about this place was their hookah. In food we tried their nachos and pizza's. You should definitely try their chicken nachos and drums of heaven both were really delicious. In the beverages I tried their kiwi cooler which looked pretty cool but the taste was just okay. I also had the brownie shake which was well presented and delicious as well. In the main course do try thier chinese dishes which were really tasty. We had manchurian with fried rice. Do...read more
1529,"The place is over hyped and not at all good with food and service. I had to wait for 20 minutes to get my drink served and walk to the bar to eventually pick up my drink. Also, the card machine was not operational that added to the not so good environment."
1530,"Take off scarlet is located in Punjabi Bagh. Take off Scarlet is a club bar with a magnificent vibe and flavourful nourishment. This is one of thr famous place in Punjabi Bagh, where you can go with your friends. You really need to book your table before going there so as to avoid waiting. The place was good and Ambience also Nice.Drinks We had:-Virgin MojitoCaramel ShakeKiwi CoolerComing To The Foods We had:-Dahi ke kababVeg PizzaLoaded NachosOnion RingsPaneer TikkaThe food was Good. Paneer tikka was really soft and Mouth watering. Loaded nachos also so cheesy and loaded. But little bit they have to work on their food.Overall it was a nice experience and nice place to...read more"
1531,Recently visited TOS situated in club road panjabi bagh .Ambience was good spacious with the loud music in background they have a beautiful outdoor seating too.COME TO FOODI ordered:-- Fried onions rings: they serve fried crispy onion rings with flavoured covering.-Amritsari fish tikka : they serve fried fish chunks wth flavoured covering wth finger licking sauce you LL definitely love that.-Classic cesar salad : if u wanna have some light delicious start u can go for it as it's a mixture of peanut onion tomato cabage made in chilli sauce.-Tanduri chicken Tikka : well cooked soft chicken peices with flavoured covering .-Loaded chicken nachos :nachos fully loaded with cheese...read more
1532,•Ambience - 5/5 (Rooftop is prettyyy)•Staff service - 2/5Wasn’t paying attention to our order. Some of them were very rude.•Food - 3.5/5Their veg burger is quite delicious and a must try.Quantity of the food should be improved.
